open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1586445180000,7305.41000000,7305.85000000,7300.00000000,7300.00000000,24.90213800,1586445239999,181849.38649503,368,14.99937000,109542.66206555,0
1586445240000,7300.34000000,7309.34000000,7300.00000000,7308.00000000,25.47392200,1586445299999,186049.47503421,339,20.65235700,150834.02555150,0
1586445300000,7307.69000000,7307.99000000,7300.48000000,7305.78000000,31.86804900,1586445359999,232768.95914097,390,9.94787000,72663.94620699,0
1586445360000,7305.34000000,7305.76000000,7297.21000000,7298.54000000,49.92362900,1586445419999,364552.19301752,470,11.17246200,81584.63495603,0
1586445420000,7298.50000000,7300.04000000,7285.82000000,7290.00000000,81.60509100,1586445479999,595044.81460188,817,21.95454200,160081.86615362,0
1586445480000,7290.37000000,7300.05000000,7289.43000000,7291.66000000,46.98222800,1586445539999,342724.84527524,525,26.13265300,190659.82189845,0
1586445540000,7291.34000000,7293.31000000,7271.00000000,7278.98000000,136.89594400,1586445599999,996952.38901149,1435,43.37318300,315941.04894984,0
1586445600000,7278.37000000,7286.37000000,7276.35000000,7283.73000000,111.22527800,1586445659999,809923.31703761,1001,70.36102900,512354.17387909,0
1586445660000,7283.73000000,7294.07000000,7280.09000000,7290.00000000,82.09302700,1586445719999,598214.40111237,890,53.69123700,391304.54376713,0
1586445720000,7290.01000000,7291.56000000,7283.80000000,7285.62000000,44.86141800,1586445779999,326936.25584492,632,25.22782900,183854.43266930,0
1586445780000,7285.81000000,7286.00000000,7272.20000000,7277.81000000,95.76358900,1586445839999,697064.02283437,1107,46.89290500,341320.85706101,0
1586445840000,7277.81000000,7285.70000000,7276.25000000,7281.21000000,98.23455200,1586445899999,715248.28516586,722,80.17097700,583707.09552351,0
1586445900000,7282.18000000,7287.70000000,7280.01000000,7286.65000000,42.07700300,1586445959999,306496.75005674,535,26.11815200,190241.52394409,0
1586445960000,7287.24000000,7294.94000000,7287.24000000,7290.08000000,53.50285800,1586446019999,390042.64504115,533,32.49652600,236901.07140330,0
1586446020000,7290.78000000,7294.98000000,7288.37000000,7292.97000000,35.40644400,1586446079999,258156.89171196,445,19.16120900,139710.23581126,0
1586446080000,7293.44000000,7303.94000000,7292.15000000,7302.56000000,39.39122200,1586446139999,287526.99843794,534,32.43586400,236757.04607706,0
1586446140000,7302.64000000,7307.64000000,7301.08000000,7303.45000000,36.53013300,1586446199999,266800.85582000,449,19.02546600,138963.36457038,0
1586446200000,7303.00000000,7304.00000000,7294.79000000,7300.82000000,45.94767300,1586446259999,335444.91030408,438,21.78043600,158990.28224842,0
1586446260000,7300.94000000,7301.30000000,7293.68000000,7293.69000000,22.55214400,1586446319999,164536.95879685,382,12.80680700,93436.50248201,0
1586446320000,7293.69000000,7294.67000000,7289.00000000,7293.18000000,32.76279700,1586446379999,238903.77304651,362,15.94381200,116258.72200097,0
1586446380000,7293.18000000,7293.18000000,7284.12000000,7287.40000000,22.86706400,1586446439999,166671.00829727,423,16.05806000,117050.85174714,0
1586446440000,7287.40000000,7295.61000000,7286.15000000,7293.59000000,70.74447800,1586446499999,515786.46746879,595,55.84794000,407181.95199526,0
1586446500000,7293.59000000,7293.60000000,7287.26000000,7288.74000000,42.18473800,1586446559999,307539.77508571,536,32.94632200,240190.93879530,0
1586446560000,7288.74000000,7291.95000000,7278.47000000,7284.30000000,83.83147400,1586446619999,610769.48725547,828,29.40792100,214269.73921133,0
1586446620000,7284.28000000,7286.51000000,7280.00000000,7286.24000000,45.68845000,1586446679999,332819.03421142,634,20.99277200,152934.27478692,0
1586446680000,7286.30000000,7293.50000000,7286.20000000,7292.46000000,68.15310600,1586446739999,496866.00254940,642,42.17519400,307458.15647008,0
1586446740000,7292.86000000,7298.99000000,7291.52000000,7298.94000000,56.44034800,1586446799999,411766.86163926,859,37.78544100,275664.45982514,0
1586446800000,7298.00000000,7299.00000000,7292.05000000,7294.96000000,42.80278800,1586446859999,312279.17368311,594,20.42596000,149040.72654174,0
1586446860000,7294.79000000,7296.52000000,7278.39000000,7284.31000000,56.71182000,1586446919999,413304.83009127,586,18.10349000,131997.93998025,0
1586446920000,7284.31000000,7287.00000000,7277.45000000,7283.82000000,51.89336400,1586446979999,377973.85957364,565,31.08778600,226468.66141179,0
1586446980000,7283.82000000,7289.81000000,7282.09000000,7284.22000000,38.41571900,1586447039999,279902.05932583,575,25.26692400,184092.00589470,0
1586447040000,7284.43000000,7287.00000000,7282.34000000,7284.88000000,35.95432200,1586447099999,261930.14767591,528,24.31879000,177162.83775389,0
